HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOID,WarningMsg,HUCID,Edited,waterID,AverageSam,SampleCoun,Shape_Leng,Shape_Area,sum_Size,Point_Coun
2,2,Big Creek @ California Rd,SS BP v1.3.4,1,,,02020004,0,89.00000000000,1.45000000000,1,48340.00950240000,49285518.24180000000,2.00000000000,1
2,2,Beaver Creek,SS BP v1.3.4,1,,,04140201,0,90.00000000000,0.12322222222,54,25600.00490140000,15692905.81820000000,0.00000000000,0
2,2,Barrile Site,SS BP v1.3.4,1,,,04140201,0,91.00000000000,0.28814814815,54,37160.00640010000,32301312.05510000000,0.00000000000,0
2,2,Banks Road,SS BP v1.3.4,1,,,04140201,0,92.00000000000,0.24158139535,43,78160.01450350000,94073235.07710000000,0.00000000000,0
2,2,Acoustic Doppler,SS BP v1.3.4,1,,,04140201,0,93.00000000000,0.27333333333,6,640.00000000000,3100.00000000000,0.00000000000,0
2,2,21NYDECA_WQX-WHITNEYPTR_160035_DH,SS BP v1.3.4,1,,,02050102,0,94.00000000000,0.26483333333,6,2540.00090122000,92700.06158350000,0.00000000000,0
2,2,21NYDECA_WQX-WHITEL_090117_DH,SS BP v1.3.4,1,,,02040104,0,95.00000000000,0.03700000000,4,4080.00080013000,539700.22412800000,0.00000000000,0
2,2,21NYDECA_WQX-SWINGBRR_09_0108_DH,SS BP v1.3.4,1,,,02040104,0,96.00000000000,0.12025000000,4,121820.02079800000,248058094.70800000000,7.00000000000,4
2,2,21NYDECA_WQX-ROUNDP_090065_DH,SS BP v1.3.4,1,,,02040104,0,97.00000000000,0.00600000000,3,4120.00099945000,594600.27272700000,0.00000000000,0
2,2,21NYDECA_WQX-ROUNDP_080152_DH,SS BP v1.3.4,1,,,04130001,0,98.00000000000,0.13700000000,4,57580.01090100000,56249720.62430000000,0.00000000000,0
2,2,21NYDECA_WQX-REICHARDSL_090382_DH,SS BP v1.3.4,1,,,02020006,0,99.00000000000,0.00550000000,1,1900.00039959000,92600.05291940000,0.00000000000,0
2,2,21NYDECA_WQX-QA_QC,SS BP v1.3.4,1,,,02020006,0,100.00000000000,0.01722368421,19,40.00000000000,100.00000000000,0.00000000000,0
2,2,21NYDECA_WQX-PERCHL_090358_DH,SS BP v1.3.4,1,,,02040102,0,101.00000000000,0.01733333333,3,2440.00030041000,180600.06458800000,0.00000000000,0
2,2,21NYDECA_WQX-MORNINGSDL_090050_DH,SS BP v1.3.4,1,,,02040104,0,102.00000000000,0.03225000000,4,20820.00390050000,9244003.59882000000,0.00000000000,0
2,2,21NYDECA_WQX-MOHICANL_090173_DH,SS BP v1.3.4,1,,,02040104,0,103.00000000000,0.00725000000,2,15640.00320150000,4867501.90486000000,0.00000000000,0
2,2,21NYDECA_WQX-LONGP_080154_TMDL,SS BP v1.3.4,1,,,04130001,0,104.00000000000,0.00300000000,1,3080.00060081000,284100.10113700000,0.00000000000,0
2,2,21NYDECA_WQX-LHUNTING_090216_DH,SS BP v1.3.4,1,,,02040101,0,105.00000000000,0.00683333333,3,5860.00110149000,1148800.48115000000,0.00000000000,0
2,2,21NYDECA_WQX-CRANBERP_080155_TMDL,SS BP v1.3.4,1,,,04130001,0,106.00000000000,0.01650000000,2,2500.00059986000,157300.05795000000,0.00000000000,0
2,2,21NYDECA_WQX-BUCKP_080153_?,SS BP v1.3.4,1,,,04130001,0,107.00000000000,0.00300000000,1,200.00000000000,900.00000000000,0.00000000000,0
2,2,21NYDECA_WQX-17025100,SS BP v1.3.4,1,,,01100006,0,108.00000000000,0.12220000000,5,7020.00130081000,1473700.57691000000,0.00000000000,0
2,2,21NYDECA_WQX-16012102,SS BP v1.3.4,1,,,01100005,0,109.00000000000,0.33260000000,10,69280.01239920000,90800034.80230000000,1.00000000000,1
2,2,21NYDECA_WQX-16012100,SS BP v1.3.4,1,,,01100005,0,110.00000000000,0.11228571429,7,96800.01919990000,123636247.76500000000,0.00000000000,0
2,2,21NYDECA_WQX-16011112,SS BP v1.3.4,1,,,01100005,0,111.00000000000,0.19711111111,18,42140.00759980000,31308011.84200000000,0.00000000000,0
2,2,21NYDECA_WQX-15012105,SS BP v1.3.4,1,,,02030101,0,112.00000000000,0.37880000000,10,61280.01160000000,89572534.90120000000,0.00000000000,0
2,2,21NYDECA_WQX-15011001,SS BP v1.3.4,1,,,02030101,0,113.00000000000,1.73977777778,9,119880.02320100000,235593191.29900000000,0.00000000000,0
2,2,21NYDECA_WQX-14042201,SS BP v1.3.4,1,,,02040101,0,114.00000000000,0.16650000000,10,84240.01609800000,134986050.96400000000,0.00000000000,0
2,2,21NYDECA_WQX-14041077,SS BP v1.3.4,1,,,02040101,0,115.00000000000,0.57430000000,10,39980.00739910000,41057215.50760000000,0.00000000000,0
2,2,21NYDECA_WQX-14023104,SS BP v1.3.4,1,,,02040104,0,116.00000000000,0.17375000000,8,34180.00650260000,21738708.43770000000,0.00000000000,0
2,2,21NYDECA_WQX-14022300,SS BP v1.3.4,1,,,02040104,0,117.00000000000,0.11570000000,10,63460.01130060000,71235827.00030000000,0.00000000000,0
2,2,21NYDECA_WQX-14022200,SS BP v1.3.4,1,,,02040104,0,118.00000000000,0.15590000000,10,67540.01260090000,87651833.44820000000,0.00000000000,0
2,2,21NYDECA_WQX-14022104,SS BP v1.3.4,1,,,02040104,0,119.00000000000,0.12988888889,9,101660.02010300000,174879467.28200000000,0.00000000000,0
2,2,21NYDECA_WQX-14012400,SS BP v1.3.4,1,,,02040101,0,120.00000000000,0.10244444444,9,51480.00949910000,36624513.99170000000,0.00000000000,0
2,2,21NYDECA_WQX-14012300,SS BP v1.3.4,1,,,02040104,0,121.00000000000,0.36700000000,10,62820.01099970000,69713826.57590000000,4.00000000000,2
2,2,21NYDECA_WQX-14012200,SS BP v1.3.4,1,,,02040104,0,122.00000000000,1.09420000000,10,54920.01050190000,47866618.27920000000,2.00000000000,1
2,2,21NYDECA_WQX-14011400,SS BP v1.3.4,1,,,02040104,0,123.00000000000,0.13370000000,10,62780.01319930000,69758526.77260000000,0.00000000000,0
